pid,draft_year,source_year,source_filename,source_row,match_method
Pa260a40e68,2012,2012,combine_2012.json,3,unique_nba_id
P43f8251240,2012,2012,combine_2012.json,57,unique_nba_id
Pf849910cdc,2012,2012,combine_2012.json,46,unique_nba_id
Pf9e0178b31,2012,2012,combine_2012.json,32,unique_nba_id
Pc3d030ae81,2012,2012,combine_2012.json,47,unique_nba_id
P4e4e438f6e,2012,2012,combine_2012.json,10,unique_nba_id
Pb5ebcb5d6c,2012,2012,combine_2012.json,1,unique_nba_id
P3f927eeca6,2012,2012,combine_2012.json,31,unique_nba_id
P4d2e34ba12,2012,2012,combine_2012.json,29,unique_nba_id
Pca1e2194fa,2012,2012,combine_2012.json,34,unique_nba_id
P400aecdd2c,2012,2012,combine_2012.json,17,unique_nba_id
P089ae8ca96,2012,2012,combine_2012.json,16,unique_nba_id
P47044d9385,2012,2012,combine_2012.json,58,unique_nba_id
Pbc5d4fc393,2012,2012,combine_2012.json,60,unique_nba_id
Pcfae2f19b7,2012,2012,combine_2012.json,24,unique_nba_id
Pc2a67f2add,2012,2012,combine_2012.json,42,unique_nba_id
P83b3d780d7,2012,2012,combine_2012.json,51,unique_nba_id
Pa3f9e715ae,2012,2012,combine_2012.json,35,unique_nba_id
P6d4d3ba13b,2012,2012,combine_2012.json,21,unique_nba_id
P31e884be2b,2012,2012,combine_2012.json,7,unique_nba_id
P52c65c114a,2012,2012,combine_2012.json,59,unique_nba_id
P4bc4764e2a,2012,2012,combine_2012.json,44,unique_nba_id
P8d6fb61ea0,2012,2012,combine_2012.json,40,unique_nba_id
Pd2430f6dfc,2012,2012,combine_2012.json,25,unique_nba_id
P838aeb9cb6,2012,2012,combine_2012.json,55,unique_nba_id
Pc6c9992e46,2012,2012,combine_2012.json,12,unique_nba_id
Pc0b16a51f2,2012,2012,combine_2012.json,48,unique_nba_id
P86f7665380,2012,2012,combine_2012.json,20,unique_nba_id
Pa548aa166c,2012,2012,combine_2012.json,14,unique_nba_id
Pf2c709b50b,2012,2012,combine_2012.json,22,unique_nba_id
Pff7518dc75,2012,2012,combine_2012.json,0,unique_nba_id
P319cf0c2e0,2012,2012,combine_2012.json,36,unique_nba_id
P798e5b71ce,2012,2012,combine_2012.json,2,unique_nba_id
Pd9273beb4e,2012,2012,combine_2012.json,54,unique_nba_id
P47e358160b,2012,2012,combine_2012.json,30,unique_nba_id
P1ba89514b1,2012,2012,combine_2012.json,49,unique_nba_id
P4b46fb5c89,2012,2012,combine_2012.json,11,unique_nba_id
Pc8a80657b3,2012,2012,combine_2012.json,38,unique_nba_id
P337fb06bb7,2012,2012,combine_2012.json,41,unique_nba_id
Paa36360f59,2012,2012,combine_2012.json,43,unique_nba_id
Pbf890a872a,2012,2012,combine_2012.json,27,unique_nba_id
P2db62bcb6f,2012,2012,combine_2012.json,23,unique_nba_id
P2cdeb4bf00,2012,2012,combine_2012.json,19,unique_nba_id
P093d3a11ad,2012,2012,combine_2012.json,26,unique_nba_id
Pded0fedf79,2012,2012,combine_2012.json,33,unique_nba_id
Pcad0645e5a,2013,2013,combine_2013.json,11,unique_nba_id
P70aaa5fb09,2013,2013,combine_2013.json,52,unique_nba_id
Pa33d5803eb,2013,2013,combine_2013.json,20,unique_nba_id
P3ede0fa0b1,2013,2013,combine_2013.json,38,unique_nba_id
P467b7b3f59,2013,2013,combine_2013.json,17,unique_nba_id
P3cb5a9e68b,2013,2013,combine_2013.json,37,unique_nba_id
P84101ffd6c,2013,2013,combine_2013.json,62,unique_nba_id
P9dbf445dc5,2013,2013,combine_2013.json,53,unique_nba_id
Pecca0a47dd,2013,2013,combine_2013.json,14,unique_nba_id
P70fe638043,2013,2013,combine_2013.json,21,unique_nba_id
P17a4a5cfae,2013,2013,combine_2013.json,15,unique_nba_id
P5d0988f1e1,2013,2013,combine_2013.json,6,unique_nba_id
Pfb1f867cde,2013,2013,combine_2013.json,18,unique_nba_id
P83fd4822e5,2013,2013,combine_2013.json,56,unique_nba_id
Pef94ae3f83,2013,2013,combine_2013.json,59,unique_nba_id
P1100d011d0,2013,2013,combine_2013.json,45,unique_nba_id
P6a23d47737,2013,2013,combine_2013.json,5,unique_nba_id
P45b94f1aab,2013,2013,combine_2013.json,2,unique_nba_id
P31b4a243f7,2013,2013,combine_2013.json,48,unique_nba_id
P398088f587,2013,2013,combine_2013.json,8,unique_nba_id
P36eaf9779b,2013,2013,combine_2013.json,42,unique_nba_id
